Country,safe_water,sanitation_service,air_pollution,slum_population,co2_emissions,smoking_male,smoking_female,tuberculosis,HIV_total,HIV_male,HIV_female,HIV_youth_male,HIV_youth_female,HIV_therapy,diabetes
Israel,99.4,93.7,20.8,,7.9,35.0,15.0,4.0,0.2,75.0,25.0,0.1,0.1,,9.7
Italy,95.0,96.2,16.5,,5.3,28.0,20.0,7.0,0.3,70.0,30.0,0.1,0.1,91.0,5.0
Jamaica,,,13.4,,2.6,29.0,5.0,3.0,1.9,63.0,37.0,0.5,0.3,31.0,11.3
Japan,98.5,98.8,11.6,,9.5,34.0,11.0,14.0,0.1,90.0,10.0,0.1,0.1,80.0,5.6
Jordan,93.8,80.6,33.2,12.9,3.0,,,5.0,0.1,83.0,17.0,0.1,0.1,84.0,12.7
Kazakhstan,89.5,,13.1,,14.4,43.0,7.0,68.0,0.2,63.0,37.0,0.1,0.1,58.0,6.1
Kenya,,,28.6,56.0,0.3,20.0,1.0,292.0,4.7,37.0,63.0,1.5,2.5,68.0,3.1
Kiribati,,,10.5,,0.6,59.0,36.0,349.0,,,,,,,22.5
Korea,66.6,,31.8,,1.6,,,513.0,,,,,,,6.4
Korea_Rep,98.2,99.9,25.1,,11.6,41.0,6.0,66.0,,,,,,,6.9
Kosovo,,,,,,,,,,,,,,,
Kuwait,100.0,100.0,60.8,,25.8,37.0,3.0,23.0,0.1,71.0,29.0,0.1,0.1,62.0,12.2
Kyrgyz Republic,68.2,,23.2,,1.6,51.0,4.0,116.0,0.2,66.0,34.0,0.1,0.1,43.0,6.1
Lao PDR,16.1,58.1,25.8,31.4,0.3,51.0,7.0,162.0,0.3,55.0,45.0,0.1,0.1,54.0,6.4
Latvia,95.2,85.8,13.4,,3.5,51.0,26.0,29.0,0.4,69.0,31.0,0.1,0.1,45.0,5.0
Lebanon,47.7,21.8,30.2,,3.8,41.0,27.0,11.0,0.1,84.0,16.0,0.1,0.1,60.0,11.2
Lesotho,,,28.3,50.8,1.2,54.0,0.0,611.0,23.6,41.0,59.0,4.1,10.8,61.0,4.5
Liberia,,,17.9,65.7,0.2,18.0,2.0,308.0,1.3,38.0,62.0,0.4,0.8,35.0,2.4
Libya,,26.1,52.1,,9.0,,,40.0,0.2,70.0,30.0,0.1,0.1,44.0,10.2
Liechtenstein,100.0,99.7,,,1.2,,,,,,,,,,9.4
Lithuania,92.0,91.3,11.8,,4.4,38.0,21.0,44.0,,,,,,,3.8
Luxembourg,99.7,96.6,10.3,,17.4,26.0,21.0,8.0,0.3,72.0,28.0,0.1,0.1,77.0,5.0
Madagascar,81.0,16.6,29.6,,3.6,,,233.0,0.3,69.0,31.0,0.2,0.1,9.0,4.5
Malawi,,,22.9,77.2,0.1,25.0,4.0,181.0,9.2,40.0,60.0,2.0,4.3,78.0,4.5
Malaysia,,,23.1,66.7,0.1,42.0,1.0,92.0,0.4,83.0,17.0,0.3,0.1,48.0,16.7
Maldives,93.3,88.6,15.8,,8.1,55.0,2.0,33.0,,,,,,,9.2
Mali,,,8.0,,3.1,23.0,2.0,53.0,1.4,36.0,64.0,0.4,1.0,31.0,2.4
Malta,,18.7,38.5,56.3,0.1,30.0,21.0,14.0,,,,,,,8.3
Marshall Islands,100.0,93.0,13.8,,5.4,,,434.0,,,,,,,30.5
Mauritania,,,10.2,,1.8,,,93.0,0.2,61.0,39.0,0.1,0.1,54.0,7.1
Mauritius,,,46.7,79.9,0.7,41.0,3.0,13.0,1.3,69.0,31.0,0.2,0.2,22.0,22.0
Mexico,,,14.3,,3.4,21.0,7.0,23.0,0.2,84.0,16.0,0.1,0.1,70.0,13.5
Micronesia,42.9,50.4,20.7,11.1,4.0,,,108.0,,,,,,,11.9
Moldova,,,11.1,,1.4,45.0,6.0,86.0,0.6,60.0,40.0,0.1,0.1,34.0,5.7
Monaco,72.9,,16.4,,1.4,,,0.0,,,,,,,2.9
Mongolia,100.0,100.0,,,,47.0,6.0,428.0,0.1,81.0,19.0,0.1,0.1,32.0,4.7
Montenegro,23.7,,38.2,42.7,7.1,48.0,44.0,15.0,0.1,88.0,12.0,0.1,0.1,40.0,9.0
Morocco,93.6,,20.9,,3.6,47.0,1.0,99.0,0.1,58.0,42.0,0.1,0.1,65.0,7.0
Mozambique,70.3,38.8,32.9,13.1,1.8,29.0,5.0,551.0,12.6,39.0,61.0,3.0,7.2,56.0,3.3
Myanmar,,,21.5,80.3,0.3,35.0,6.0,338.0,0.8,62.0,38.0,0.4,0.3,70.0,3.9
Namibia,,,36.0,41.0,0.4,34.0,10.0,524.0,11.8,40.0,60.0,2.6,4.5,92.0,4.5
Nepal,,,25.6,33.2,1.7,38.0,10.0,151.0,0.1,60.0,40.0,0.1,0.1,56.0,7.2
Netherlands,27.2,,98.1,54.3,0.3,27.0,24.0,5.0,0.2,83.0,17.0,0.1,0.1,83.0,5.4
New Caledonia,100.0,97.5,12.0,,9.9,,,15.0,,,,,,,21.8
New Zealand,96.7,,,,16.0,17.0,15.0,7.0,0.1,84.0,16.0,0.1,0.1,73.0,6.2
Nicaragua,100.0,88.7,6.0,,7.7,,,41.0,0.2,67.0,33.0,0.1,0.1,53.0,11.4
Niger,51.6,,17.7,,0.8,15.0,0.0,87.0,0.3,49.0,51.0,0.1,0.1,54.0,2.4
Nigeria,,9.6,87.7,70.1,0.1,11.0,1.0,219.0,1.5,43.0,57.0,0.5,0.8,53.0,3.1
North Macedonia,20.1,26.7,71.4,50.2,0.5,,,13.0,0.1,88.0,12.0,0.1,0.1,54.0,9.3
Northern Mariana Islands,90.2,,9.9,,,,,95.0,,,,,,,
Norway,98.3,76.3,7.0,,9.3,21.0,20.0,4.0,0.1,72.0,28.0,0.1,0.1,82.0,5.3
Oman,90.3,,41.8,,15.2,16.0,1.0,6.0,0.2,70.0,30.0,0.1,0.1,41.0,10.1
Pakistan,35.3,,58.6,45.5,0.9,37.0,3.0,265.0,0.1,70.0,30.0,0.1,0.1,10.0,19.9
Palau,,,,,14.8,23.0,8.0,109.0,,,,,,,17.9
Panama,,,11.5,25.8,2.3,10.0,2.0,52.0,0.9,70.0,30.0,0.2,0.1,54.0,7.7
Papua New Guinea,,,12.6,,0.8,49.0,24.0,432.0,0.8,42.0,58.0,0.2,0.3,65.0,17.9
Paraguay,63.9,58.5,11.6,,0.9,22.0,5.0,43.0,0.5,69.0,31.0,0.2,0.2,40.0,9.6
Peru,50.4,42.8,25.5,34.2,2.1,,5.0,123.0,0.3,77.0,23.0,0.1,0.1,73.0,6.6
Philippines,46.7,51.6,18.2,38.3,1.1,41.0,8.0,554.0,0.1,94.0,6.0,0.3,0.1,44.0,7.1
Poland,99.2,93.3,21.0,,7.5,33.0,23.0,16.0,,,,,,,6.1
Portugal,95.3,84.7,8.1,,4.3,30.0,16.0,24.0,0.5,71.0,29.0,0.1,0.1,90.0,9.8
Puerto Rico,94.1,32.5,8.3,,,,,1.0,,,,,,,13.7
Qatar,96.2,96.0,88.2,,43.9,27.0,1.0,31.0,,,,,,,15.6
Romania,81.9,76.5,14.5,,3.5,37.0,23.0,68.0,0.1,64.0,36.0,0.1,0.1,67.0,6.9
Russian Federation,76.0,61.3,16.2,,11.9,58.0,23.0,54.0,,,,,,,6.1
Rwanda,,,42.8,53.2,0.1,21.0,5.0,59.0,2.5,38.0,62.0,0.5,0.9,87.0,5.1
Samoa,58.8,48.5,11.4,,1.0,38.0,17.0,6.0,,,,,,,9.2
San Marino,100.0,77.2,,,,,,0.0,,,,,,,5.9
Sao Tome and Principe,,,28.7,86.6,0.6,,,124.0,,,,,,,2.4
Saudi Arabia,,77.8,84.5,,19.4,25.0,2.0,10.0,,,,,,,15.8
Senegal,,21.5,38.7,39.4,0.6,17.0,0.0,118.0,0.4,33.0,67.0,0.1,0.2,63.0,2.4
Serbia,74.7,24.7,24.8,,5.3,40.0,38.0,17.0,0.1,84.0,16.0,0.1,0.1,65.0,9.0
Seychelles,,,20.4,,5.4,36.0,7.0,18.0,,,,,,,12.3
Sierra Leone,9.9,13.3,21.3,75.6,0.2,41.0,9.0,298.0,1.5,39.0,61.0,0.5,1.1,41.0,2.4
Singapore,100.0,100.0,18.8,,10.3,28.0,5.0,47.0,0.2,90.0,10.0,0.1,0.1,78.0,5.5
Sint Maarten,,,,,19.5,,,19.0,,,,,,,6.8
Slovak Republic,99.8,82.5,17.4,,5.7,38.0,23.0,6.0,0.1,86.0,14.0,0.1,0.1,54.0,6.5
Slovenia,98.1,83.0,15.9,,6.2,25.0,20.0,5.0,0.1,,,,,,5.9
Solomon Islands,,,11.8,,0.3,,,74.0,,,,,,,19.0
Somalia,,,31.8,73.6,0.0,,,262.0,0.1,41.0,59.0,0.1,0.1,30.0,5.1
